2020_census_tract,vehicle_count,electric_range,base_msrp,model_year,percent_bev,high_adoption
8041003702.0,1,17.0,34995.0,2019.0,0.0,0
8041004405.0,1,18.0,0.0,2022.0,0.0,0
8041004515.0,1,76.0,0.0,2016.0,1.0,0
8041005122.0,1,0.0,0.0,2023.0,1.0,0
8041005700.0,1,0.0,0.0,2024.0,1.0,0
8041007103.0,1,25.0,0.0,2017.0,0.0,0
8041007105.0,1,0.0,0.0,2023.0,1.0,0
8041007106.0,2,192.0,0.0,2019.0,1.0,0
8041007205.0,2,9.0,0.0,2021.5,0.5,0
8041007301.0,1,0.0,0.0,2022.0,1.0,0
8041007502.0,4,5.75,0.0,2023.0,0.75,0
8067971100.0,1,249.0,0.0,2018.0,1.0,0
8069002505.0,1,215.0,0.0,2018.0,1.0,0
8123002208.0,1,0.0,0.0,2022.0,1.0,0
9003405900.0,1,0.0,0.0,2022.0,1.0,0
9003494201.0,1,220.0,0.0,2019.0,1.0,0
9011660101.0,1,38.0,0.0,2015.0,0.0,0
9011696200.0,1,13.0,0.0,2016.0,0.0,0
9011696600.0,1,0.0,0.0,2024.0,1.0,0
9011701200.0,1,0.0,0.0,2021.0,1.0,0
9011702100.0,1,322.0,0.0,2020.0,1.0,0
10001041400.0,1,42.0,0.0,2025.0,0.0,0
11001004802.0,1,0.0,0.0,2023.0,1.0,0
11001005503.0,1,0.0,0.0,2025.0,1.0,0
11001006600.0,1,0.0,0.0,2023.0,1.0,0
11001007903.0,2,183.0,0.0,2018.0,1.0,0
12009063105.0,1,42.0,0.0,2021.0,0.0,0
12009071354.0,1,0.0,0.0,2023.0,1.0,0
12011020312.0,1,0.0,0.0,2023.0,1.0,0
12011060121.0,1,0.0,0.0,2024.0,1.0,0
12019031203.0,1,208.0,0.0,2015.0,1.0,0
12031002502.0,1,0.0,0.0,2024.0,1.0,0
12031010101.0,2,0.0,0.0,2023.0,1.0,0
12031012202.0,1,21.0,0.0,2023.0,0.0,0
12031013906.0,1,0.0,0.0,2023.0,1.0,0
12031014101.0,1,0.0,0.0,2022.0,1.0,0
12031015702.0,1,0.0,0.0,2024.0,1.0,0
12031016809.0,1,0.0,0.0,2022.0,1.0,0
12033001101.0,1,0.0,0.0,2023.0,1.0,0
12033003313.0,1,0.0,0.0,2023.0,1.0,0
12057002000.0,1,0.0,0.0,2022.0,1.0,0
12057006802.0,1,47.0,0.0,2018.0,0.0,0
12057007300.0,1,21.0,0.0,2023.0,0.0,0
12057010211.0,1,38.0,0.0,2014.0,0.0,0
12057013602.0,1,0.0,0.0,2023.0,1.0,0
12081002005.0,1,0.0,0.0,2024.0,1.0,0
12086007403.0,1,0.0,0.0,2023.0,1.0,0
12086012701.0,1,0.0,0.0,2023.0,1.0,0
12091020500.0,2,75.5,0.0,2020.0,1.0,0
12091020601.0,1,14.0,0.0,2017.0,0.0,0
12091020702.0,1,0.0,0.0,2025.0,1.0,0
12091020800.0,1,42.0,0.0,2022.0,0.0,0
12095012402.0,1,25.0,0.0,2023.0,0.0,0
12095016737.0,1,210.0,0.0,2016.0,1.0,0
12095016748.0,1,0.0,0.0,2022.0,1.0,0
12095017018.0,1,0.0,0.0,2025.0,1.0,0
12097040808.0,1,0.0,0.0,2023.0,1.0,0
12099002800.0,1,0.0,0.0,2021.0,1.0,0
12099007006.0,1,291.0,0.0,2020.0,1.0,0
12115001903.0,1,220.0,0.0,2019.0,1.0,0
13039010500.0,1,0.0,0.0,2023.0,1.0,0
13067030337.0,1,153.0,0.0,2020.0,1.0,0
13073030306.0,1,42.0,0.0,2021.0,0.0,0
13073030307.0,1,0.0,0.0,2023.0,1.0,0
13089020901.0,1,0.0,0.0,2023.0,1.0,0
13089022700.0,1,84.0,0.0,2015.0,1.0,0
13089022900.0,1,220.0,0.0,2019.0,1.0,0
13117130609.0,1,0.0,0.0,2024.0,1.0,0
13117130613.0,1,0.0,0.0,2023.0,1.0,0
13135050233.0,1,266.0,0.0,2020.0,1.0,0
13153020600.0,1,0.0,0.0,2022.0,1.0,0
13215010209.0,1,35.0,0.0,2022.0,0.0,0
13215010702.0,1,0.0,0.0,2021.0,1.0,0
13245010207.0,2,16.0,0.0,2023.5,0.5,0
13245010514.0,1,38.0,0.0,2013.0,0.0,0
15003006900.0,1,21.0,0.0,2021.0,0.0,0
15003008410.0,1,25.0,0.0,2021.0,0.0,0
15007040900.0,1,22.0,0.0,2022.0,0.0,0
15009030307.0,1,215.0,0.0,2018.0,1.0,0
15009030709.0,1,0.0,0.0,2022.0,1.0,0
15009031900.0,1,0.0,0.0,2022.0,1.0,0
16001000806.0,1,0.0,0.0,2022.0,1.0,0
16001000809.0,1,0.0,0.0,2023.0,1.0,0
16005001500.0,1,291.0,0.0,2020.0,1.0,0
16039960401.0,1,0.0,0.0,2024.0,1.0,0
16055000304.0,1,26.0,0.0,2020.0,0.0,0
16055000601.0,2,0.0,0.0,2022.0,1.0,0
16055940000.0,1,0.0,0.0,2022.0,1.0,0
17031351000.0,1,215.0,0.0,2018.0,1.0,0
17031804316.0,1,21.0,0.0,2024.0,0.0,0
17031805901.0,1,0.0,0.0,2025.0,1.0,0
17031807300.0,1,0.0,0.0,2021.0,1.0,0
17043846102.0,2,0.0,0.0,2022.5,1.0,0
17089854800.0,1,0.0,0.0,2023.0,1.0,0
17097863004.0,2,0.0,0.0,2022.0,1.0,0
17097864106.0,3,0.0,0.0,2024.6666666666667,1.0,0
17097864412.0,1,0.0,0.0,2024.0,1.0,0
17097864516.0,1,0.0,0.0,2021.0,1.0,0
17119403531.0,1,215.0,0.0,2018.0,1.0,0
17163503800.0,1,32.0,0.0,2021.0,0.0,0
17163503903.0,2,19.5,0.0,2022.5,0.5,0
18003001200.0,1,210.0,0.0,2017.0,1.0,0
18003010601.0,1,33.0,0.0,2018.0,0.0,0
18097320205.0,1,0.0,0.0,2024.0,1.0,0
20061000801.0,1,0.0,0.0,2022.0,1.0,0
20103981900.0,7,72.0,5713.571428571428,2021.4285714285713,0.5714285714285714,0
20161001002.0,1,0.0,0.0,2024.0,1.0,0
21093000904.0,1,0.0,0.0,2022.0,1.0,0
21111012206.0,1,26.0,0.0,2024.0,0.0,0
21163970200.0,1,0.0,0.0,2021.0,1.0,0
21185030802.0,1,33.0,0.0,2018.0,0.0,0
22017023906.0,1,0.0,0.0,2024.0,1.0,0
22097960601.0,1,0.0,0.0,2024.0,1.0,0
23019004300.0,1,6.0,0.0,2012.0,0.0,0
24003701400.0,1,200.0,0.0,2017.0,1.0,0
24003702208.0,1,47.0,0.0,2018.0,0.0,0
24003702209.0,1,25.0,0.0,2023.0,0.0,0
24003702402.0,2,0.0,0.0,2024.0,1.0,0
24003730606.0,2,107.5,0.0,2021.0,1.0,0
24003731307.0,1,0.0,0.0,2021.0,1.0,0
24003740108.0,1,0.0,0.0,2023.0,1.0,0
24003740603.0,2,16.0,0.0,2024.0,0.5,0
24009860103.0,1,32.0,0.0,2021.0,0.0,0
24013507602.0,1,19.0,0.0,2015.0,0.0,0
24017850713.0,1,0.0,0.0,2023.0,1.0,0
24017850802.0,1,0.0,0.0,2021.0,1.0,0
24021750200.0,1,0.0,0.0,2023.0,1.0,0
24021751201.0,1,32.0,0.0,2024.0,0.0,0
24021752603.0,1,37.0,0.0,2024.0,0.0,0
24025301107.0,2,0.0,0.0,2023.0,1.0,0
24025306400.0,1,0.0,0.0,2023.0,1.0,0
24025306500.0,2,0.0,0.0,2022.5,1.0,0
24027602201.0,1,18.0,0.0,2022.0,0.0,0
24027605104.0,1,53.0,0.0,2017.0,0.0,0
24027606805.0,1,215.0,0.0,2018.0,1.0,0
24031700103.0,2,26.0,0.0,2016.0,0.0,0
24031700306.0,1,0.0,0.0,2022.0,1.0,0
24031700604.0,1,32.0,0.0,2021.0,0.0,0
24031700823.0,1,0.0,0.0,2025.0,1.0,0
24031700826.0,1,0.0,0.0,2024.0,1.0,0
24031704404.0,1,200.0,0.0,2017.0,1.0,0
24031705000.0,1,0.0,0.0,2023.0,1.0,0
24033800521.0,1,210.0,0.0,2016.0,1.0,0
24033800704.0,1,0.0,0.0,2021.0,1.0,0
24033800800.0,1,32.0,0.0,2023.0,0.0,0
24033801410.0,1,0.0,0.0,2023.0,1.0,0
24033802201.0,1,0.0,0.0,2022.0,1.0,0
24033803514.0,1,6.0,0.0,2013.0,0.0,0
24037875400.0,1,0.0,0.0,2023.0,1.0,0
24037875501.0,1,21.0,0.0,2024.0,0.0,0
24037875803.0,1,0.0,0.0,2025.0,1.0,0
24037875906.0,1,0.0,0.0,2023.0,1.0,0
25001010800.0,1,220.0,0.0,2019.0,1.0,0
25005985500.0,1,0.0,0.0,2022.0,1.0,0
25017301102.0,1,0.0,0.0,2023.0,1.0,0
25017359400.0,1,0.0,0.0,2023.0,1.0,0
25017360300.0,1,0.0,0.0,2023.0,1.0,0
25017368500.0,1,29.0,0.0,2020.0,0.0,0
25017373100.0,1,0.0,0.0,2023.0,1.0,0
25021401201.0,1,0.0,0.0,2024.0,1.0,0
25021417704.0,1,12.0,0.0,2017.0,0.0,0
25025140102.0,1,220.0,0.0,2019.0,1.0,0
26099262100.0,6,0.0,0.0,2025.0,1.0,0
26145010304.0,1,25.0,0.0,2022.0,0.0,0
26161414900.0,1,220.0,0.0,2019.0,1.0,0
26163584300.0,1,0.0,0.0,2022.0,1.0,0
27053104902.0,1,15.0,55700.0,2019.0,0.0,0
27109000500.0,1,0.0,0.0,2024.0,1.0,0
28059040902.0,2,0.0,0.0,2021.0,1.0,0
29101960402.0,1,0.0,0.0,2023.0,1.0,0
29131962701.0,2,0.0,0.0,2024.0,1.0,0
29165030306.0,1,18.0,0.0,2021.0,0.0,0
29169470288.0,1,0.0,0.0,2023.0,1.0,0
29169470390.0,1,0.0,0.0,2023.0,1.0,0
29169470402.0,1,322.0,0.0,2020.0,1.0,0
29183311739.0,1,0.0,0.0,2024.0,1.0,0
29189217923.0,1,42.0,0.0,2022.0,0.0,0
29215480201.0,1,215.0,0.0,2018.0,1.0,0
29510104200.0,1,0.0,0.0,2025.0,1.0,0
29510127000.0,1,322.0,0.0,2020.0,1.0,0
31055002200.0,1,0.0,0.0,2023.0,1.0,0
31055007465.0,1,19.0,0.0,2016.0,0.0,0
31153010206.0,1,0.0,0.0,2024.0,1.0,0
31153010208.0,1,42.0,0.0,2023.0,0.0,0
32001950700.0,1,32.0,0.0,2023.0,0.0,0
32003002848.0,1,19.0,0.0,2014.0,0.0,0
32003002938.0,1,35.0,0.0,2022.0,0.0,0
32003002977.0,1,0.0,0.0,2022.0,1.0,0
32003003222.0,1,259.0,0.0,2020.0,1.0,0
32003003227.0,2,0.0,0.0,2023.0,1.0,0
32003003241.0,1,0.0,0.0,2024.0,1.0,0
32003003641.0,1,0.0,0.0,2023.0,1.0,0
32003003664.0,1,0.0,0.0,2022.0,1.0,0
32003005717.0,1,322.0,0.0,2020.0,1.0,0
32023960415.0,1,0.0,0.0,2024.0,1.0,0
32031003508.0,1,0.0,0.0,2023.0,1.0,0
32031003516.0,1,308.0,0.0,2020.0,1.0,0
33015059000.0,2,0.0,0.0,2024.0,1.0,0
33015069200.0,2,154.0,0.0,2022.0,1.0,0
34001011806.0,1,0.0,0.0,2023.0,1.0,0
34005702101.0,1,25.0,0.0,2020.0,0.0,0
34005982111.0,1,35.0,0.0,2012.0,0.0,0
34007600200.0,1,0.0,0.0,2024.0,1.0,0
34013016200.0,1,0.0,0.0,2024.0,1.0,0
34013017000.0,1,35.0,0.0,2024.0,0.0,0
34017013900.0,1,0.0,0.0,2022.0,1.0,0
34021004205.0,1,38.0,0.0,2014.0,0.0,0
34025811102.0,2,0.0,0.0,2022.0,1.0,0
34029720106.0,1,259.0,0.0,2020.0,1.0,0
34037374600.0,1,84.0,0.0,2016.0,1.0,0
35035000604.0,1,25.0,0.0,2023.0,0.0,0
36045060805.0,3,16.666666666666668,0.0,2019.6666666666667,0.3333333333333333,0
36047002100.0,1,215.0,0.0,2018.0,1.0,0
36047013800.0,1,0.0,0.0,2023.0,1.0,0
36047016400.0,1,32.0,0.0,2023.0,0.0,0
36059300600.0,1,0.0,0.0,2026.0,1.0,0
36061002202.0,1,0.0,0.0,2021.0,1.0,0
36061017401.0,2,0.0,0.0,2023.5,1.0,0
36061017900.0,1,215.0,0.0,2018.0,1.0,0
36063024404.0,1,18.0,0.0,2021.0,0.0,0
36071013600.0,2,21.0,0.0,2022.0,0.5,0
36091060601.0,1,200.0,0.0,2016.0,1.0,0
36091061102.0,1,42.0,0.0,2023.0,0.0,0
37051000701.0,1,322.0,0.0,2020.0,1.0,0
37051003102.0,1,0.0,0.0,2023.0,1.0,0
37051003501.0,1,266.0,0.0,2020.0,1.0,0
37053110202.0,1,0.0,0.0,2021.0,1.0,0
37085071204.0,2,107.5,0.0,2019.5,1.0,0
37085071303.0,1,0.0,0.0,2023.0,1.0,0
37093970109.0,1,0.0,0.0,2023.0,1.0,0
37125950402.0,1,0.0,0.0,2023.0,1.0,0
37125950504.0,1,0.0,0.0,2023.0,1.0,0
37183053208.0,1,0.0,0.0,2023.0,1.0,0
39035111202.0,1,0.0,0.0,2024.0,1.0,0
39057210402.0,1,0.0,0.0,2023.0,1.0,0
39057210500.0,1,0.0,0.0,2022.0,1.0,0
39061024100.0,2,0.0,0.0,2022.5,1.0,0
39061025401.0,1,0.0,0.0,2023.0,1.0,0
39113040305.0,1,39.0,0.0,2024.0,0.0,0
40027202006.0,1,0.0,0.0,2023.0,1.0,0
40031000506.0,1,0.0,0.0,2022.0,1.0,0
40047001301.0,1,0.0,0.0,2023.0,1.0,0
41005020403.0,2,0.0,0.0,2025.0,1.0,0
41005023201.0,1,238.0,0.0,2018.0,1.0,0
41005023202.0,1,0.0,0.0,2022.0,1.0,0
41051001101.0,1,14.0,90700.0,2018.0,0.0,0
41051001702.0,1,0.0,0.0,2023.0,1.0,0
41051002901.0,1,0.0,0.0,2022.0,1.0,0
41051002903.0,1,238.0,0.0,2017.0,1.0,0
41051005102.0,3,10.666666666666666,0.0,2022.0,0.6666666666666666,0
41051006001.0,1,0.0,0.0,2022.0,1.0,0
41051009501.0,1,0.0,0.0,2022.0,1.0,0
41051010200.0,1,16.0,52650.0,2018.0,0.0,0
41051010408.0,1,0.0,0.0,2024.0,1.0,0
41053005204.0,1,322.0,0.0,2020.0,1.0,0
41053005301.0,1,42.0,0.0,2022.0,0.0,0
41067030105.0,1,0.0,0.0,2024.0,1.0,0
41067030700.0,1,0.0,0.0,2023.0,1.0,0
41067031618.0,1,0.0,0.0,2022.0,1.0,0
41067032904.0,1,0.0,0.0,2023.0,1.0,0
42003020100.0,1,0.0,0.0,2023.0,1.0,0
42003413201.0,1,293.0,0.0,2020.0,1.0,0
42003458001.0,1,0.0,0.0,2024.0,1.0,0
42007602100.0,1,0.0,0.0,2023.0,1.0,0
42017101403.0,1,0.0,0.0,2024.0,1.0,0
42017105202.0,1,35.0,0.0,2022.0,0.0,0
42027010901.0,1,266.0,0.0,2020.0,1.0,0
42055012001.0,1,19.0,0.0,2015.0,0.0,0
42101001101.0,1,42.0,0.0,2021.0,0.0,0
42107003100.0,1,0.0,0.0,2022.0,1.0,0
44003020702.0,1,0.0,0.0,2024.0,1.0,0
44005040400.0,2,11.0,0.0,2020.0,0.5,0
44005040600.0,1,25.0,0.0,2017.0,0.0,0
45013002103.0,1,84.0,0.0,2015.0,1.0,0
45013002105.0,1,0.0,0.0,2022.0,1.0,0
45015020602.0,1,21.0,0.0,2024.0,0.0,0
45015020714.0,1,21.0,0.0,2023.0,0.0,0
45015020903.0,1,0.0,0.0,2023.0,1.0,0
45063021035.0,1,308.0,0.0,2020.0,1.0,0
47037010903.0,1,0.0,0.0,2023.0,1.0,0
47093004610.0,13,0.0,0.0,2023.5384615384614,1.0,0
47157020836.0,1,0.0,0.0,2024.0,1.0,0
47187050205.0,1,23.0,0.0,2023.0,0.0,0
48027020900.0,1,21.0,0.0,2023.0,0.0,0
48027021502.0,1,0.0,0.0,2022.0,1.0,0
48027023114.0,1,0.0,0.0,2023.0,1.0,0
48027023201.0,1,41.0,0.0,2024.0,0.0,0
48029120100.0,2,32.0,0.0,2022.5,0.0,0
48029131300.0,1,0.0,0.0,2021.0,1.0,0
48029131601.0,1,0.0,0.0,2022.0,1.0,0
48029131616.0,1,0.0,0.0,2022.0,1.0,0
48029161400.0,2,0.0,0.0,2024.0,1.0,0
48029172006.0,1,0.0,0.0,2023.0,1.0,0
48085031659.0,1,0.0,0.0,2022.0,1.0,0
48085031670.0,1,37.0,0.0,2024.0,0.0,0
48113004400.0,1,0.0,0.0,2022.0,1.0,0
48113013729.0,1,0.0,0.0,2024.0,1.0,0
48121021631.0,1,0.0,0.0,2021.0,1.0,0
48141010101.0,2,14.5,0.0,2020.0,0.5,0
48141010210.0,1,322.0,0.0,2020.0,1.0,0
48141010367.0,1,21.0,0.0,2023.0,0.0,0
48157673202.0,1,220.0,0.0,2019.0,1.0,0
48167720702.0,1,0.0,0.0,2022.0,1.0,0
48201253602.0,1,21.0,0.0,2017.0,0.0,0
48201421900.0,1,0.0,0.0,2023.0,1.0,0
48201980700.0,1,289.0,0.0,2020.0,1.0,0
48325000103.0,1,0.0,0.0,2022.0,1.0,0
48339693600.0,1,238.0,0.0,2018.0,1.0,0
48355005409.0,1,0.0,0.0,2023.0,1.0,0
48355005416.0,1,259.0,0.0,2020.0,1.0,0
48439113908.0,1,220.0,0.0,2019.0,1.0,0
48453001923.0,1,0.0,0.0,2023.0,1.0,0
48453032500.0,1,35.0,0.0,2012.0,0.0,0
48453035600.0,1,265.0,59900.0,2012.0,1.0,0
48453045100.0,1,0.0,0.0,2022.0,1.0,0
48491020311.0,1,0.0,0.0,2023.0,1.0,0
48491020331.0,1,0.0,0.0,2023.0,1.0,0
48491020509.0,1,220.0,0.0,2019.0,1.0,0
48491020811.0,1,0.0,0.0,2024.0,1.0,0
49035110900.0,1,37.0,0.0,2023.0,0.0,0
49035113526.0,1,21.0,0.0,2023.0,0.0,0
49045131004.0,1,210.0,0.0,2016.0,1.0,0
49057210513.0,1,0.0,0.0,2023.0,1.0,0
51003010702.0,1,208.0,69900.0,2014.0,1.0,0
51003011000.0,1,0.0,0.0,2024.0,1.0,0
51013101300.0,1,0.0,0.0,2021.0,1.0,0
51013102901.0,1,220.0,0.0,2019.0,1.0,0
51013103505.0,1,0.0,0.0,2022.0,1.0,0
51059415500.0,1,208.0,0.0,2015.0,1.0,0
